Base UPC,UPC Desc,FT Commodity,UPC Width (in)
4800,TOMATOES GRAINGER COUNTY      ,617 TOMATOES                      ,5
94134,APPLES GALA 1/2 CTN ORG       ,600 APPLES                        ,3.5
1111091871,POTATOES YUKON GOLD RPC       ,618 POTATOES                      ,8
4091,YAMS WHITE RPC                ,618 POTATOES                      ,7
1111091846,KRO POTATOES RED              ,618 POTATOES                      ,10
94799,TOMATOES HH RED ORGNC         ,617 TOMATOES                      ,3
3127,POMEGRANATE                   ,606 TROPICAL FRUIT                ,4
4312,MANGOES HONEY SML             ,606 TROPICAL FRUIT                ,3
1111018193,KRO PEARS ANJOU POUCH BAG     ,601 PEARS                         ,10
4413,PEARS BOSC 2LYR EURO          ,601 PEARS                         ,3
94091,POTATOES SWEET ORGANIC        ,618 POTATOES                      ,7
4130,APPLES PINK LADY EURO LG      ,600 APPLES                        ,3.5
4235,PLANTAINS CHIQUITA            ,620 BANANAS                       ,8
94166,ONIONS SWEET ORGNC            ,619 ONIONS                        ,3
1111002882,STO GARLIC HEADS WHOLE        ,614 HERBS/GARLIC                  ,4
1111091664,KRO POTATOES RST MCRO JBO     ,618 POTATOES                      ,3
3221,POTATOES RED SZ B RPC         ,618 POTATOES                      ,2.5
94017,APPLES GRANNY LG EURO ORG     ,600 APPLES                        ,3.5
4225,AVOCADOS HASS LRG TP RPC      ,606 TROPICAL FRUIT                ,2.5
1111091682,ONIONS YELLOW                 ,619 ONIONS                        ,6
1111091688,KRO TOMATOES                  ,617 TOMATOES                      ,7.5
4409,PEARS BARTLETT LG 2L EURO     ,601 PEARS                         ,3
